"全数報告疾病 週報告分 （集計）"
"東京都"
"集計期間開始週","2016年27週"
"集計期間終了週","2016年27週"

"疾病名","報告数"
"エボラ出血熱","0"
"クリミア・コンゴ出血熱","0"
"痘そう","0"
"南米出血熱","0"
"ペスト","0"
"マールブルグ病","0"
"ラッサ熱","0"
"急性灰白髄炎","0"
"結核","65"
"ジフテリア","0"
"重症急性呼吸器症候群","0"
"中東呼吸器症候群","0"
"鳥インフルエンザ（H5N1)","0"
"鳥インフルエンザ（H7N9)","0"
"コレラ","0"
"細菌性赤痢","0"
"腸管出血性大腸菌感染症","14"
"腸チフス","2"
"パラチフス","0"
"E型肝炎","1"
"ウエストナイル熱","0"
"A型肝炎","1"
"エキノコックス症","0"
"エムポックス","0"
"黄熱","0"
"オウム病","1"
"オムスク出血熱","0"
"回帰熱","0"
"キャサヌル森林病","0"
"Ｑ熱","0"
"狂犬病","0"
"コクシジオイデス症","0"
"ジカウイルス感染症","0"
"重症熱性血小板減少症候群","0"
"腎症候性出血熱","0"
"西部ウマ脳炎","0"
"ダニ媒介脳炎","0"
"炭疽","0"
"チクングニア熱","0"
"つつが虫病","0"
"デング熱","2"
"東部ウマ脳炎","0"
"鳥インフルエンザ（H5N1およびH7N9を除く）","0"
"ニパウイルス感染症","0"
"日本紅斑熱","0"
"日本脳炎","0"
"ハンタウイルス肺症候群","0"
"Ｂウイルス病","0"
"鼻疽","0"
"ブルセラ症","0"
"ベネズエラウマ脳炎","0"
"ヘンドラウイルス感染症","0"
"発しんチフス","0"
"ボツリヌス症","0"
"マラリア","1"
"野兎病","0"
"ライム病","0"
"リッサウイルス感染症","0"
"リフトバレー熱","0"
"類鼻疽","0"
"レジオネラ症","1"
"レプトスピラ症","0"
"ロッキー山紅斑熱","0"
"アメーバ赤痢","6"
"ウイルス性肝炎（Ｅ型肝炎及びＡ型肝炎を除く。）","2"
"カルバペネム耐性腸内細菌目細菌感染症","2"
"急性脳炎","1"
"クリプトスポリジウム症","0"
"クロイツフェルト・ヤコブ病","0"
"劇症型溶血性レンサ球菌感染症","0"
"後天性免疫不全症候群","10"
"ジアルジア症","1"
"侵襲性インフルエンザ菌感染症","0"
"侵襲性髄膜炎菌感染症","1"
"侵襲性肺炎球菌感染症","5"
"水痘（入院例に限る）","1"
"先天性風しん症候群","0"
"梅毒","36"
"播種性クリプトコックス症","0"
"破傷風","0"
"バンコマイシン耐性黄色ブドウ球菌感染症","0"
"バンコマイシン耐性腸球菌感染症","0"
"風しん","1"
"麻しん","1"
"薬剤耐性アシネトバクター感染症","0"

